npc_id,profile_text
blacksmith_744,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay."
spy_397,"A spy with a calculating, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. complete_mission. maintain_cover."
scholar_403,"A scholar with a curious, pedantic demeanor who values knowledge, truth, independence. Goals: maintain_reputation. protect_research."
apothecary_624,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
farmer_280,"A farmer with a honest, simple demeanor who values family, land, survival. Goals: maintain_land. survive_season."
scholar_995,"A scholar with a curious, analytical demeanor who values knowledge, truth, independence. Goals: maintain_reputation. pursue_knowledge."
guild_master_985,"A guild master with a authoritative, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: expand_influence. maintain_power. protect_guild."
innkeeper_070,"A innkeeper with a pragmatic, warm demeanor who values profit, community, self_preservation. Goals: maintain_peace. earn_profit. avoid_trouble."
steward_117,"A steward with a evasive, meticulous demeanor who values order, discretion, loyalty. Goals: maintain_order. protect_noble. manage_household."
steward_106,"A steward with a formal, meticulous demeanor who values order, discretion, loyalty. Goals: manage_household. maintain_order. protect_noble."
merchant_484,"A merchant with a affable, evasive demeanor who values profit, reputation, pragmatism. Goals: complete_deal. maximize_profit. protect_reputation."
innkeeper_965,"A innkeeper with a gossipy, pragmatic demeanor who values profit, community, self_preservation. Goals: avoid_trouble. earn_profit. maintain_peace."
farmer_299,"A farmer with a honest, simple demeanor who values family, land, survival. Goals: survive_season. protect_family."
chamberlain_218,"A chamberlain with a calculating, polite demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. advance_position. serve_lord."
chamberlain_211,"A chamberlain with a polite, calculating demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. advance_position. serve_lord."
innkeeper_482,"A innkeeper with a gossipy, pragmatic demeanor who values profit, community, self_preservation. Goals: maintain_peace. avoid_trouble. earn_profit."
guild_master_826,"A guild master with a authoritative, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: protect_guild. expand_influence. maintain_power."
sergeant_932,"A sergeant with a authoritative, brusque demeanor who values order, hierarchy, duty. Goals: follow_chain_of_command. protect_garrison. maintain_order."
healer_072,"A healer with a calm, careful demeanor who values compassion, knowledge, neutrality. Goals: maintain_neutrality. help_patient. protect_knowledge."
apothecary_802,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
priest_768,"A priest with a evasive, persuasive demeanor who values faith, duty, community. Goals: maintain_authority. serve_faith. protect_flock."
innkeeper_289,"A innkeeper with a pragmatic, warm demeanor who values profit, community, self_preservation. Goals: avoid_trouble. maintain_peace. earn_profit."
spy_514,"A spy with a calculating, charming demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. maintain_cover. complete_mission."
sergeant_855,"A sergeant with a brusque, professional demeanor who values order, hierarchy, duty. Goals: maintain_order. protect_garrison. follow_chain_of_command."
spy_420,"A spy with a evasive, calculating demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. maintain_cover. complete_mission."
innkeeper_547,"A innkeeper with a warm, gossipy demeanor who values profit, community, self_preservation. Goals: earn_profit. avoid_trouble. maintain_peace."
blacksmith_193,"A blacksmith with a direct, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. earn_fair_pay. maintain_independence."
priest_257,"A priest with a persuasive, evasive demeanor who values faith, duty, community. Goals: serve_faith. protect_flock. maintain_authority."
apothecary_497,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
chamberlain_676,"A chamberlain with a calculating, refined demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. advance_position. serve_lord."
farmer_822,"A farmer with a honest, cautious demeanor who values family, land, survival. Goals: maintain_land. protect_family."
innkeeper_632,"A innkeeper with a gossipy, warm demeanor who values profit, community, self_preservation. Goals: maintain_peace. earn_profit. avoid_trouble."
steward_145,"A steward with a evasive, meticulous demeanor who values order, discretion, loyalty. Goals: protect_noble. manage_household. maintain_order."
castle_guard_423,"A castle guard with a formal, terse demeanor who values duty, loyalty, self_preservation. Goals: protect_vault. follow_orders. avoid_scandal."
priest_510,"A priest with a persuasive, evasive demeanor who values faith, duty, community. Goals: serve_faith. protect_flock. maintain_authority."
spy_186,"A spy with a evasive, calculating demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. maintain_cover. complete_mission."
merchant_229,"A merchant with a shrewd, evasive demeanor who values profit, reputation, pragmatism. Goals: maximize_profit. complete_deal. protect_reputation."
priest_560,"A priest with a evasive, serene demeanor who values faith, duty, community. Goals: maintain_authority. serve_faith. protect_flock."
soldier_291,"A soldier with a blunt, loyal demeanor who values honor, obedience, comradeship. Goals: follow_orders. protect_comrades. survive."
innkeeper_272,"A innkeeper with a gossipy, warm demeanor who values profit, community, self_preservation. Goals: avoid_trouble. maintain_peace. earn_profit."
innkeeper_195,"A innkeeper with a warm, gossipy demeanor who values profit, community, self_preservation. Goals: earn_profit. avoid_trouble. maintain_peace."
apothecary_520,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. maintain_business. avoid_scrutiny."
steward_962,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: manage_household. protect_noble. maintain_order."
innkeeper_881,"A innkeeper with a pragmatic, gossipy demeanor who values profit, community, self_preservation. Goals: avoid_trouble. maintain_peace. earn_profit."
healer_518,"A healer with a careful, empathetic demeanor who values compassion, knowledge, neutrality. Goals: help_patient. protect_knowledge. maintain_neutrality."
soldier_489,"A soldier with a suspicious, blunt demeanor who values honor, obedience, comradeship. Goals: follow_orders. survive. protect_comrades."
steward_958,"A steward with a evasive, meticulous demeanor who values order, discretion, loyalty. Goals: manage_household. protect_noble. maintain_order."
soldier_346,"A soldier with a loyal, suspicious demeanor who values honor, obedience, comradeship. Goals: protect_comrades. survive. follow_orders."
spy_578,"A spy with a evasive, charming demeanor who values survival, loyalty_to_handler, pragmatism. Goals: complete_mission. maintain_cover. avoid_exposure."
priest_641,"A priest with a persuasive, serene demeanor who values faith, duty, community. Goals: protect_flock. serve_faith. maintain_authority."
healer_013,"A healer with a empathetic, careful demeanor who values compassion, knowledge, neutrality. Goals: maintain_neutrality. help_patient. protect_knowledge."
merchant_582,"A merchant with a evasive, shrewd demeanor who values profit, reputation, pragmatism. Goals: protect_reputation. maximize_profit. complete_deal."
apothecary_266,"A apothecary with a methodical, secretive demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
scholar_423,"A scholar with a curious, pedantic demeanor who values knowledge, truth, independence. Goals: maintain_reputation. protect_research."
innkeeper_245,"A innkeeper with a gossipy, warm demeanor who values profit, community, self_preservation. Goals: avoid_trouble. maintain_peace. earn_profit."
scholar_379,"A scholar with a pedantic, curious demeanor who values knowledge, truth, independence. Goals: maintain_reputation. pursue_knowledge. protect_research."
merchant_803,"A merchant with a evasive, shrewd demeanor who values profit, reputation, pragmatism. Goals: maximize_profit. protect_reputation. complete_deal."
innkeeper_229,"A innkeeper with a warm, pragmatic demeanor who values profit, community, self_preservation. Goals: avoid_trouble. earn_profit. maintain_peace."
innkeeper_151,"A innkeeper with a warm, pragmatic demeanor who values profit, community, self_preservation. Goals: maintain_peace. earn_profit. avoid_trouble."
spy_740,"A spy with a calculating, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: complete_mission. maintain_cover. avoid_exposure."
guild_master_748,"A guild master with a diplomatic, authoritative demeanor who values power, guild_prosperity, pragmatism. Goals: maintain_power. protect_guild. expand_influence."
sergeant_214,"A sergeant with a brusque, professional demeanor who values order, hierarchy, duty. Goals: maintain_order. follow_chain_of_command. protect_garrison."
innkeeper_413,"A innkeeper with a pragmatic, gossipy demeanor who values profit, community, self_preservation. Goals: avoid_trouble. earn_profit. maintain_peace."
chamberlain_084,"A chamberlain with a refined, calculating demeanor who values propriety, loyalty, ambition. Goals: advance_position. serve_lord. maintain_propriety."
soldier_070,"A soldier with a suspicious, blunt demeanor who values honor, obedience, comradeship. Goals: follow_orders. protect_comrades. survive."
chamberlain_739,"A chamberlain with a calculating, refined demeanor who values propriety, loyalty, ambition. Goals: advance_position. maintain_propriety. serve_lord."
guild_master_765,"A guild master with a authoritative, diplomatic demeanor who values power, guild_prosperity, pragmatism. Goals: protect_guild. expand_influence. maintain_power."
soldier_906,"A soldier with a loyal, suspicious demeanor who values honor, obedience, comradeship. Goals: protect_comrades. survive. follow_orders."
priest_180,"A priest with a persuasive, serene demeanor who values faith, duty, community. Goals: maintain_authority. serve_faith. protect_flock."
merchant_250,"A merchant with a affable, evasive demeanor who values profit, reputation, pragmatism. Goals: protect_reputation. maximize_profit. complete_deal."
priest_798,"A priest with a persuasive, serene demeanor who values faith, duty, community. Goals: serve_faith. protect_flock. maintain_authority."
spy_029,"A spy with a calculating, charming demeanor who values survival, loyalty_to_handler, pragmatism. Goals: complete_mission. avoid_exposure. maintain_cover."
blacksmith_922,"A blacksmith with a stubborn, honest demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence. earn_fair_pay."
chamberlain_617,"A chamberlain with a refined, polite demeanor who values propriety, loyalty, ambition. Goals: serve_lord. maintain_propriety. advance_position."
steward_316,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: protect_noble. manage_household. maintain_order."
blacksmith_462,"A blacksmith with a direct, honest demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work."
spy_399,"A spy with a calculating, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: complete_mission. avoid_exposure. maintain_cover."
innkeeper_423,"A innkeeper with a pragmatic, warm demeanor who values profit, community, self_preservation. Goals: earn_profit. avoid_trouble. maintain_peace."
farmer_512,"A farmer with a simple, honest demeanor who values family, land, survival. Goals: survive_season. protect_family."
steward_310,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: manage_household. protect_noble. maintain_order."
innkeeper_228,"A innkeeper with a pragmatic, warm demeanor who values profit, community, self_preservation. Goals: earn_profit. maintain_peace. avoid_trouble."
spy_211,"A spy with a evasive, calculating demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. complete_mission. maintain_cover."
steward_942,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: protect_noble. manage_household. maintain_order."
sergeant_828,"A sergeant with a professional, brusque demeanor who values order, hierarchy, duty. Goals: protect_garrison. follow_chain_of_command. maintain_order."
innkeeper_868,"A innkeeper with a gossipy, warm demeanor who values profit, community, self_preservation. Goals: avoid_trouble. earn_profit. maintain_peace."
soldier_551,"A soldier with a loyal, blunt demeanor who values honor, obedience, comradeship. Goals: survive. protect_comrades. follow_orders."
apothecary_805,"A apothecary with a methodical, polite demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
innkeeper_371,"A innkeeper with a pragmatic, gossipy demeanor who values profit, community, self_preservation. Goals: earn_profit. maintain_peace. avoid_trouble."
scholar_386,"A scholar with a analytical, pedantic demeanor who values knowledge, truth, independence. Goals: pursue_knowledge. maintain_reputation. protect_research."
innkeeper_984,"A innkeeper with a warm, pragmatic demeanor who values profit, community, self_preservation. Goals: avoid_trouble. earn_profit. maintain_peace."
guild_master_680,"A guild master with a calculating, authoritative demeanor who values power, guild_prosperity, pragmatism. Goals: maintain_power. expand_influence. protect_guild."
healer_598,"A healer with a empathetic, calm demeanor who values compassion, knowledge, neutrality. Goals: protect_knowledge. maintain_neutrality. help_patient."
blacksmith_797,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: complete_work. maintain_independence."
guild_master_958,"A guild master with a diplomatic, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: protect_guild. expand_influence. maintain_power."
guild_master_324,"A guild master with a authoritative, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: maintain_power. protect_guild. expand_influence."
priest_110,"A priest with a persuasive, serene demeanor who values faith, duty, community. Goals: serve_faith. maintain_authority. protect_flock."
healer_237,"A healer with a calm, careful demeanor who values compassion, knowledge, neutrality. Goals: maintain_neutrality. help_patient. protect_knowledge."
sergeant_850,"A sergeant with a professional, authoritative demeanor who values order, hierarchy, duty. Goals: follow_chain_of_command. maintain_order. protect_garrison."
spy_138,"A spy with a calculating, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: maintain_cover. avoid_exposure. complete_mission."
sergeant_298,"A sergeant with a authoritative, brusque demeanor who values order, hierarchy, duty. Goals: follow_chain_of_command. maintain_order. protect_garrison."
guild_master_852,"A guild master with a calculating, authoritative demeanor who values power, guild_prosperity, pragmatism. Goals: expand_influence. maintain_power. protect_guild."
farmer_363,"A farmer with a cautious, simple demeanor who values family, land, survival. Goals: protect_family. survive_season."
soldier_910,"A soldier with a suspicious, blunt demeanor who values honor, obedience, comradeship. Goals: protect_comrades. survive. follow_orders."
innkeeper_437,"A innkeeper with a pragmatic, warm demeanor who values profit, community, self_preservation. Goals: maintain_peace. avoid_trouble. earn_profit."
merchant_185,"A merchant with a shrewd, affable demeanor who values profit, reputation, pragmatism. Goals: protect_reputation. complete_deal. maximize_profit."
steward_865,"A steward with a meticulous, evasive demeanor who values order, discretion, loyalty. Goals: maintain_order. protect_noble. manage_household."
innkeeper_906,"A innkeeper with a pragmatic, gossipy demeanor who values profit, community, self_preservation. Goals: avoid_trouble. earn_profit. maintain_peace."
guild_master_881,"A guild master with a calculating, diplomatic demeanor who values power, guild_prosperity, pragmatism. Goals: maintain_power. protect_guild. expand_influence."
spy_476,"A spy with a evasive, calculating demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. complete_mission. maintain_cover."
steward_321,"A steward with a formal, evasive demeanor who values order, discretion, loyalty. Goals: maintain_order. protect_noble. manage_household."
apothecary_292,"A apothecary with a secretive, polite demeanor who values knowledge, profit, discretion. Goals: protect_knowledge. maintain_business. avoid_scrutiny."
healer_740,"A healer with a empathetic, careful demeanor who values compassion, knowledge, neutrality. Goals: help_patient. maintain_neutrality. protect_knowledge."
innkeeper_215,"A innkeeper with a pragmatic, gossipy demeanor who values profit, community, self_preservation. Goals: avoid_trouble. maintain_peace. earn_profit."
merchant_739,"A merchant with a shrewd, affable demeanor who values profit, reputation, pragmatism. Goals: complete_deal. maximize_profit. protect_reputation."
spy_453,"A spy with a charming, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. maintain_cover. complete_mission."
steward_672,"A steward with a meticulous, evasive demeanor who values order, discretion, loyalty. Goals: maintain_order. protect_noble. manage_household."
apothecary_754,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. maintain_business. protect_knowledge."
chamberlain_263,"A chamberlain with a polite, calculating demeanor who values propriety, loyalty, ambition. Goals: serve_lord. maintain_propriety. advance_position."
guild_master_763,"A guild master with a diplomatic, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: maintain_power. expand_influence. protect_guild."
chamberlain_607,"A chamberlain with a polite, refined demeanor who values propriety, loyalty, ambition. Goals: maintain_propriety. serve_lord. advance_position."
sergeant_285,"A sergeant with a authoritative, professional demeanor who values order, hierarchy, duty. Goals: protect_garrison. maintain_order. follow_chain_of_command."
innkeeper_457,"A innkeeper with a warm, gossipy demeanor who values profit, community, self_preservation. Goals: avoid_trouble. maintain_peace. earn_profit."
spy_720,"A spy with a calculating, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: maintain_cover. complete_mission. avoid_exposure."
castle_guard_112,"A castle guard with a terse, formal demeanor who values duty, loyalty, self_preservation. Goals: follow_orders. protect_vault. avoid_scandal."
healer_723,"A healer with a empathetic, calm demeanor who values compassion, knowledge, neutrality. Goals: help_patient. protect_knowledge. maintain_neutrality."
spy_731,"A spy with a calculating, charming demeanor who values survival, loyalty_to_handler, pragmatism. Goals: maintain_cover. avoid_exposure. complete_mission."
blacksmith_868,"A blacksmith with a honest, stubborn demeanor who values craft, fairness, independence. Goals: maintain_independence. complete_work. earn_fair_pay."
farmer_116,"A farmer with a cautious, honest demeanor who values family, land, survival. Goals: protect_family. survive_season."
steward_171,"A steward with a evasive, meticulous demeanor who values order, discretion, loyalty. Goals: manage_household. maintain_order. protect_noble."
sergeant_906,"A sergeant with a professional, brusque demeanor who values order, hierarchy, duty. Goals: follow_chain_of_command. maintain_order. protect_garrison."
innkeeper_101,"A innkeeper with a warm, gossipy demeanor who values profit, community, self_preservation. Goals: maintain_peace. avoid_trouble. earn_profit."
healer_443,"A healer with a empathetic, careful demeanor who values compassion, knowledge, neutrality. Goals: help_patient. protect_knowledge. maintain_neutrality."
steward_753,"A steward with a meticulous, evasive demeanor who values order, discretion, loyalty. Goals: manage_household. maintain_order. protect_noble."
merchant_329,"A merchant with a affable, shrewd demeanor who values profit, reputation, pragmatism. Goals: complete_deal. maximize_profit. protect_reputation."
spy_324,"A spy with a calculating, evasive demeanor who values survival, loyalty_to_handler, pragmatism. Goals: avoid_exposure. maintain_cover. complete_mission."
guild_master_417,"A guild master with a diplomatic, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: protect_guild. maintain_power. expand_influence."
apothecary_163,"A apothecary with a polite, methodical demeanor who values knowledge, profit, discretion. Goals: avoid_scrutiny. protect_knowledge. maintain_business."
merchant_107,"A merchant with a shrewd, affable demeanor who values profit, reputation, pragmatism. Goals: complete_deal. maximize_profit. protect_reputation."
healer_541,"A healer with a careful, empathetic demeanor who values compassion, knowledge, neutrality. Goals: help_patient. protect_knowledge. maintain_neutrality."
merchant_625,"A merchant with a evasive, affable demeanor who values profit, reputation, pragmatism. Goals: complete_deal. maximize_profit. protect_reputation."
merchant_046,"A merchant with a evasive, affable demeanor who values profit, reputation, pragmatism. Goals: complete_deal. maximize_profit. protect_reputation."
guild_master_533,"A guild master with a diplomatic, authoritative demeanor who values power, guild_prosperity, pragmatism. Goals: expand_influence. maintain_power. protect_guild."
merchant_048,"A merchant with a affable, shrewd demeanor who values profit, reputation, pragmatism. Goals: protect_reputation. maximize_profit. complete_deal."
guild_master_882,"A guild master with a diplomatic, calculating demeanor who values power, guild_prosperity, pragmatism. Goals: protect_guild. maintain_power. expand_influence."
innkeeper_246,"A innkeeper with a warm, pragmatic demeanor who values profit, community, self_preservation. Goals: earn_profit. avoid_trouble. maintain_peace."
steward_109,"A steward with a meticulous, evasive demeanor who values order, discretion, loyalty. Goals: maintain_order. protect_noble. manage_household."
priest_704,"A priest with a evasive, serene demeanor who values faith, duty, community. Goals: protect_flock. maintain_authority. serve_faith."
steward_333,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: protect_noble. maintain_order. manage_household."
healer_655,"A healer with a calm, empathetic demeanor who values compassion, knowledge, neutrality. Goals: protect_knowledge. maintain_neutrality. help_patient."
guild_master_075,"A guild master with a authoritative, diplomatic demeanor who values power, guild_prosperity, pragmatism. Goals: maintain_power. protect_guild. expand_influence."
innkeeper_773,"A innkeeper with a gossipy, warm demeanor who values profit, community, self_preservation. Goals: avoid_trouble. earn_profit. maintain_peace."
steward_070,"A steward with a meticulous, formal demeanor who values order, discretion, loyalty. Goals: maintain_order. manage_household. protect_noble."
steward_357,"A steward with a meticulous, evasive demeanor who values order, discretion, loyalty. Goals: manage_household. maintain_order. protect_noble."
castle_guard_104,"A castle guard with a terse, formal demeanor who values duty, loyalty, self_preservation. Goals: avoid_scandal. protect_vault. follow_orders."
scholar_463,"A scholar with a analytical, curious demeanor who values knowledge, truth, independence. Goals: protect_research. maintain_reputation."
innkeeper_701,"A innkeeper with a warm, pragmatic demeanor who values profit, community, self_preservation. Goals: earn_profit. maintain_peace. avoid_trouble."
