text,valence,arousal,dominance,emotion_label,source
"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss. PLAYER: I worked on my truck all weekend. Spent $215 on parts and a special tool. Still did not fix the miss in the engine. NPC: What is the problem with the engine?",0.12,0.79,0.58,angry,empathetic
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it. PLAYER: I found myself divorced a few years ago, and for the first time in my life, I was living alone. NPC: I felt sad and depressed due to my insecurities and felt rejected from society",0.18,0.48,0.22,lonely,empathetic
"I felt proud when I had accomplished a dream that I wanted to do for a long time.  PLAYER: I felt proud when I had accomplished a dream that I wanted to do for a long time. It was absailing!! NPC: I'm not familiar with abseiling, but I'm glad that you felt good about it.",0.78,0.62,0.72,proud,empathetic
When I spend time with my father outside by the fire when we are camping. PLAYER: Hello NPC: Hello! I am in such a good mood since I got my new home.,0.58,0.42,0.45,sentimental,empathetic
I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans. PLAYER: Planning out my new home has turned out to be a blast! NPC: What kind of house are you building?,0.88,0.72,0.75,joyful,empathetic
I went to a party and it was real bad.  PLAYER: I never took a drink before and my friends were all over me to take a drink NPC: Why did you feel guilty for taking a drink?,0.12,0.45,0.18,ashamed,empathetic
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his. PLAYER: I was only married for 4 weeks when I learned my husband was having an affair and ongoing after the wedding. I got him back by sleeping with a close family friend. I felt guilty and ashamed because it was out of character. NPC: Yeah that sounds really sad. I am sorry for what you went through.,0.18,0.62,0.32,guilty,empathetic
"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car! PLAYER: When I was working my first job, my parents picked me up in my new car, I was very surprised, i thought I was gonna have to buy my own car NPC: wow, that was so awesome of them!",0.65,0.78,0.55,surprised,empathetic
"I get wistful remembering my high school days. PLAYER: I'm nearing 40 and I find myself thinking a lot about my teen years and early twenties. The friends I had then and the fun we had. NPC: That is where I am still at, I am scared I will have regrets when I get older",0.55,0.32,0.48,nostalgic,empathetic
"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself. PLAYER: A year ago I spent a lot of time doing research for an article. Then a top journal accepted it for publication. NPC: what was the topic",0.75,0.55,0.78,confident,empathetic
"I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p PLAYER: Do you have any irritating coworkers? NPC: Yes, I think that everyone does! What about you?",0.2,0.65,0.42,annoyed,empathetic
"I broke a statuette offered by grandmother to my sister. PLAYER: Hi, I broke a statuette offered by grandmother to my sister. It was a very important object for my sister. NPC: Is it not better you replace it with same type of statuette,at a grocery store?",0.18,0.62,0.32,guilty,empathetic
"I ordered for French fries ,bit was served burger,that pissed me off! PLAYER: I could not tolerate the waiters insensitivity,that's poor service indeed! NPC: What happened?",0.12,0.92,0.52,furious,empathetic
"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry. PLAYER: I left his house, filled up with his food and disgust. I left his fridge completely empty and feel guilth NPC: That would be hard to do and take courage.",0.18,0.62,0.32,guilty,empathetic
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls. PLAYER: Hi I was recently on vacation and frightened half to death. NPC: Oh, my, what happened?",0.08,0.92,0.15,terrified,empathetic
"My mom took away my game system, and would not give it back ever again. PLAYER: When i was younger, my mother would always take away my PC because I would always play video games on them. NPC: I was the same way.",0.12,0.92,0.52,furious,empathetic
One of my friend didn't keep this promise he made to me. PLAYER: One of my friend didn't keep this promise he made to me. I was so angry to him. NPC: What promise didn't he keep?,0.18,0.52,0.28,disappointed,empathetic
There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision. PLAYER: There were times where I was being seduced by a coworker of mine as a married man. NPC: Wow. Did he have kids?,0.72,0.45,0.68,faithful,empathetic
"I look out for all my students, if they are struggling, I take however much time they need to understand. PLAYER: I am an English Tutor for Chinese students, when they struggle with a topic, I always take extra time to help them along and make sure they understand NPC: That is very inspiring, I'm glad you take the extra time. Do you like doing what you do?",0.5,0.5,0.5,caring,empathetic
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life. PLAYER: Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day. NPC: That is heartbreaking, it's always helped me to remember that no matter what happens, you have your memories with them.",0.15,0.42,0.18,sad,empathetic
"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed.  PLAYER: I drove to Dairy Queen but it was closed. NPC: I'm sorry to hear that.  That must have been frustrating.",0.18,0.52,0.28,disappointed,empathetic
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me. PLAYER: One time I had a flat tire and my dad came to help me fix it. NPC: Oh no! Glad your dad was able to help. How did it happen?,0.75,0.45,0.52,grateful,empathetic
"Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby. PLAYER: My kid's birthday are coming up again. It always makes me remember them as babies. NPC: Awe how sweet, I bet those are good memories",0.58,0.42,0.45,sentimental,empathetic
When I was little and I found out that we were going to the amusement park .  PLAYER: When I was a little child my parents told me that we were going to the amusement park and it made me so happy NPC: I bet! That sounds like fun.,0.78,0.82,0.62,excited,empathetic
"My wife and I took a 3 week trip to New Zealand last year. PLAYER: My wife and I decided to go on an iternational trip last year, and it was my first trip out of the US. It was an amazing experience, and one of the best and most memorable things I've ever done. NPC: That's awesome! How helpful where the other people so that you could enjoy your trip?",0.78,0.82,0.62,excited,empathetic
I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal. PLAYER: Onnce I had to take care of my cousin who had an ailing stomach NPC: I'm sorry to hear that. Do you know what caused it?,0.5,0.5,0.5,caring,empathetic
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live PLAYER: I felt afraid. Still i remember it NPC: What were you afraid of?",0.12,0.83,0.25,afraid,empathetic
I am so annoyed by my new manager at work. He always lies to us.  PLAYER: We have a new manager at work and it isnt going well. NPC: what is your job position?,0.2,0.65,0.42,annoyed,empathetic
"Lending my vehicle to a friend, which I never do. PLAYER: You are never going to believe what I did NPC: What did you do?",0.68,0.38,0.58,trusting,empathetic
"I just went for a shopping spree and bought a $2000 bag PLAYER: I went shopping yesterday and bought a $2000 bag. My husband is going to kill me.. NPC: Haha my girlfriend does the same thing.  Check comes in and she is so happy to have money for the next two weeks, then goes and spends it all on clothing and accessories.",0.18,0.62,0.32,guilty,empathetic
"Had to wait in line forever to check out at walmart , horrible PLAYER: I hate to be tired and see a store crowded with customers and only one or two checkouts open. NPC: Yeah it's really frustrating when they won't have more eople on.",0.15,0.68,0.42,disgusted,empathetic
"I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own.  PLAYER: There was a person who had to do twice the amount of work that they usually do. Sounded like they need to fire whoever didn't do their job NPC: Yeah, or at least do something to correct that.",0.12,0.92,0.52,furious,empathetic
Recently my manager lied to us. He changed our money and took the bonus away.  PLAYER: So our new manager has changed our bonus structure causing us to never hit bonus.. NPC: And then what?,0.12,0.79,0.58,angry,empathetic
"I was in a situation where I missed out on making some money, that caused me not to be happy. PLAYER: I had a chance to make some money, but my phone screwed up NPC: Thats terrible... have you gotten a new phone yet?",0.15,0.42,0.18,sad,empathetic
"We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends. PLAYER: Last year I was so excited to be moving. NPC: oh well, where did you move?",0.65,0.62,0.58,anticipating,empathetic
"I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner PLAYER: i bumped into a car while reversing, i had to wait long to talk to owner of the other car NPC: Oh no, that's terrible. Sorry you had to deal with that.",0.15,0.72,0.28,anxious,empathetic
When my partner went out of her way to make my day better. with gifts.  PLAYER: I was having a bad day the other day but my spouse went and surprised me with my favorite food. NPC: whats your favorite food? that was very nice of them,0.55,0.32,0.48,nostalgic,empathetic
I woke up early today for work. My children were still up watching cartoons! PLAYER: We just got back from vacation and our sleep times are off. It is really messing with me. NPC: That will mess you up for a few days. The only thing I don't like about going away.,0.65,0.78,0.55,surprised,empathetic
"Finally got some yard work done , Love the smell of fresh cut grass. PLAYER: I like getting things done in the yard,but I feel so dirty afterwards. NPC: I only like yard work with the kids. They do most of the work and we have fun in the dirt.",0.78,0.62,0.72,proud,empathetic
"When I realized all the chocolate was gone, after a long day.  PLAYER: So the other day I had a crazy long day and got home to find all of my chocolate was gone! NPC: Oh my gosh! I would have been so upset! Nothing is better than chocolates on a bad day.",0.15,0.42,0.18,sad,empathetic
"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it! PLAYER: My daughter, Brooklyn, has finally overcame her fear of water and learned to swim! It makes me so happy to see her loving the water. NPC: Thats so special! What a beautiful moment.. How old is she?",0.88,0.72,0.75,joyful,empathetic
"I am concerned about the financial situation of my employer. PLAYER: Hi, I am concerned about the financial situation of my employer. NPC: Have  you thought about talking to your boss about it?",0.12,0.83,0.25,afraid,empathetic
My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them. PLAYER: So I am home from work and Marks car was outside. I went in and him and Liz were kissing on the couch. NPC: This is terrible. So sad to hear that. What did you do then?,0.12,0.79,0.58,angry,empathetic
I heard a car outside that sounded like it wrecked yesterday. It sounded  awful. PLAYER: Did you go outside and see if anyone was hurt? NPC: What do you mean? I don't know what you are talking about.,0.15,0.72,0.28,anxious,empathetic
I was getting in a Taxi and noticed someone had thrown up in the backseat. PLAYER: So after I left the club last night I noticed the Taxi had old throw up in it still. NPC: I would have gotten out right then I believe.,0.15,0.68,0.42,disgusted,empathetic
"I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage.  PLAYER: My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. NPC: Wao, that sound like a great strong realtionship you have with her, so glad to hear that!",0.68,0.48,0.62,hopeful,empathetic
"I came across an old keychain that my dad gave to me when I was younger. It was cool.  PLAYER: The other day when I was cleaning I came across an old keychain my dad gave me when I was younger, it was nice to see. NPC: Thats good that you found the keychain",0.58,0.42,0.45,sentimental,empathetic
"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh. PLAYER: My handyman keeps telling me he's coming by to fix my leaky sink, but he never shows up when he says he will, ugh. NPC: That is seriously the worst... waiting around all day wondering whats going on! Have you tried calling him today?",0.12,0.92,0.52,furious,empathetic
I was jealous when my co worker kept getting top spot when i knew he was cheating.  PLAYER: My co worker keeps getting told how great of a job he is doing and I know hes doing wrong to get all the sales. NPC: Oh no. I am sure he will get caught eventually though.,0.22,0.68,0.48,jealous,empathetic
"When i was in High school, I was in the all state band. I was very confident. PLAYER: It was amazing sitting on the stage in that hug auditorium. NPC: What event was taking place?",0.75,0.55,0.78,confident,empathetic
I am happy to have a good vacation PLAYER: I am satisfied to have a good vacation NPC: Oh yeah what are you doing for your vacation?,0.68,0.25,0.58,content,empathetic
"My daughter used the potty for her first time the other day, it was awesome.  PLAYER: So the other day my daughter went potty for the first time on her own! NPC: That is great. It is sweet to see them grow and learn. How old is she?",0.78,0.62,0.72,proud,empathetic
The other day my daughter knew to throw away her food when she was done.  PLAYER: The other day after dinner my daughter took her trash to the trash on her own. I love watching her develop! NPC: It is so sweet. Is she able to talk?,0.72,0.62,0.58,impressed,empathetic
i am angry against a friend that suppose to help me. PLAYER: i am angry against a friend that suppose to help me. NPC: That sucks... what was he or she supposed to help you with?,0.12,0.92,0.52,furious,empathetic
"I remember getting prepared for my trip to peru, it was crazy!  PLAYER: I traveled a few months ago and didnt realize how much planning is involved! Wow it was a lot to get ready for... NPC: Traveling is hard work. Where did you go?",0.62,0.48,0.75,prepared,empathetic
"I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back. PLAYER: I have a small circle of friends. They are like my family. NPC: Thats awesome, friends really can be the best. How long have you known them?",0.68,0.38,0.58,trusting,empathetic
I thought my company was going to have a lay off. it was a tough few weeks. PLAYER: So we had a meeting at work this week. Turns out we may have to shut down in the next few months. NPC: Omg... thats terrible! Im so sorry - Ive been through similar. Are they going to give you some sort of money upon lay off?,0.12,0.83,0.25,afraid,empathetic
"The other day I was surprised with a big bonus from work.  PLAYER: The other day I got a bonus from work, which was amazing because i have recently got behind in bills. NPC: That is really cool! Did they tell you why they were giving you the bonus?",0.65,0.78,0.55,surprised,empathetic
I was going to see the new Marvel movie. On the way I got really pumped up. PLAYER: So I went to see the new Marvel movie with Thanos. It was so good and I am so pumped up now. NPC: What was it. I've been too busy to notice new movies out.,0.78,0.82,0.62,excited,empathetic
"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there. PLAYER: I am afraid my neighbors are causing snakes to come over my way. NPC: What are they doing to cause you to think that?",0.12,0.92,0.52,furious,empathetic
Today is my birthday. I can't wait to see who calls me. Or my gifts. PLAYER: Today is my birthday! I am 34! NPC: Happy Birthday!!!! What are you going to do for it?,0.15,0.72,0.28,anxious,empathetic
"when i moved into my apartment it was full of bugs!  PLAYER: I was so excited to move to a new state, but when i moved into my apartment it was full of bugs! ugh NPC: Oh no! Bugs really creep me out!",0.12,0.79,0.58,angry,empathetic
I was disappointed by my manager when he told that I will probably get my promotion next year (not this year) PLAYER: I was disappointed by my manager when he told that I will probably get my promotion next year (not this year) NPC: Ugh.. that seems like forever away.. can you try to get it sooner?,0.18,0.52,0.28,disappointed,empathetic
I get to go out today after work! yay PLAYER: I get to go to the water park today! I cant wait. NPC: That is nice. I like going to water park. What time are you going?,0.78,0.82,0.62,excited,empathetic
"I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt. PLAYER: I went out last weekend and had a major accident. Guess what happened... NPC: Are you ok, you have to tell me what happened.",0.15,0.55,0.22,embarrassed,empathetic
I was driving down a road at night and my car died. I sat in a car with not lights for hours. PLAYER: So last night I was driving down this road and my car died and I had no lights. NPC: Oh no. That must have been scary.,0.08,0.92,0.15,terrified,empathetic
I cant wait for my house to sell.. its a slow market.  PLAYER: My house feels like its taking forever to sell...but I have a feeling something good is going to come soon! NPC: How long have you been trying to sell it for?,0.68,0.48,0.62,hopeful,empathetic
I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall. PLAYER: I have been going to school for whar seems like forever. NPC: Did you wait a lot?,0.68,0.48,0.62,hopeful,empathetic
"I am annoyed by a coworker making joke about me. PLAYER: Recently, I have been annoyed by a coworker making jokes about me. NPC: Shame on them.",0.2,0.65,0.42,annoyed,empathetic
"My daughter hit her head the other day. she was sad.  PLAYER: My daughter fell the other day pretty hard, I had to hold her until she calmed down. NPC: Oh no, that's scary, is she okay?",0.5,0.5,0.5,caring,empathetic
My next door neighbors are always arguing in our shared hallway. Now they have a baby and the scream while she cries. It is so annoying. PLAYER: I really dislike my neighbors. They are the worst. NPC: What are they doing that is upsetting you?,0.2,0.65,0.42,annoyed,empathetic
I was drivng home and this guy cut me off. I had to swerve in order to not hit him. PLAYER: So last Friday I was driving home from work and this guy just cuts me off in traffic. NPC: That happens a lot. What happened next?,0.12,0.92,0.52,furious,empathetic
"I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride. PLAYER: I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride. NPC: Please tell me that he was friendly and nothing creepy!",0.12,0.83,0.25,afraid,empathetic
"I really want to win the lottery someday, maybe i will?  PLAYER: So this is going to sound crazy but, one day I am going to win the lottery. NPC: That would pretty amazing. What will you do with the winning?",0.68,0.48,0.62,hopeful,empathetic
I will pass a examen next monday. I reviewed all the content for the course PLAYER: I will pass a examen next monday. I reviewed all the content for the course NPC: Good for you! Studying can be a real challenge sometimes.,0.62,0.48,0.75,prepared,empathetic
"I was given a large raise at work. PLAYER: Last month, my boss gave me a 10% raise, even though I didn't ask fo it. It was quite the welcome surprise! NPC: That is great. Probably he think that you are doing a great job.",0.75,0.45,0.52,grateful,empathetic
"I've lost my job and am behind on my mortgage. It scares me that I could lose my home. PLAYER: I've lost my job and am behind on my mortgage. It scares me that I could lose my home. NPC: That's awful, I'm sorry to hear that. I lost my job once as well and times got really hard. What kind of stuff are you doing to try and avoid that outcome?",0.08,0.92,0.15,terrified,empathetic
Today is my birthday and I am going to party this weekend! PLAYER: Today is my birthday! NPC: HAPPY BIRTHDAY! Do you have any plans for today?,0.78,0.82,0.62,excited,empathetic
I lied to the people I work out with. I told them I was out of town but I relaly just did not want to work out. PLAYER: So last week I was supposed to meet Mary and workout with her. But I kind of lied... NPC: Oh no. That's not right.,0.12,0.45,0.18,ashamed,empathetic
Someone offered me a job online to make a lot of money.  PLAYER: Recently someone offered me an extreme amount of money for a work at home job... NPC: wow! That's awesome! Did you accept the job offer?,0.18,0.58,0.35,apprehensive,empathetic
i applied for 200+ jobs and still didn't hear from none of them! PLAYER: so i applied for 200+ jobs and i can't believe i didn't hear from none of them! NPC: Bummer!!! Are you looking for a work at home job or just an outside job?,0.65,0.78,0.55,surprised,empathetic
I ate all my kids cookies and blamed it on the dog. PLAYER: Last night I went into my kitchen and ate all of my kids cookies. NPC: I do that all of time.,0.18,0.62,0.32,guilty,empathetic
"No one ever visits me anymore. I am always by myself in this apartment. PLAYER: I have lived in my apartment for 5 years now. NPC: O wow that is a long time, Are you happy with it?",0.18,0.48,0.22,lonely,empathetic
"not living near family, being in a new place.  PLAYER: I recently moved to my dream location, but it sucks not knowing anyone. NPC: congratulations! I know, it probably feels lonely. Maybe you should do a party at your house and invite all the neighbours",0.18,0.48,0.22,lonely,empathetic
"I saw a snake outside my apartment today PLAYER: so i saw a snake outside my apartment today, i hate snakes, so disgusting eww NPC: I would have went running like forest gump - what did you do?",0.15,0.68,0.42,disgusted,empathetic
I just found out they are not making a sequel to a movie I like. PLAYER: So they just posted online about how they are not making a sequel to Hot Fuzz. NPC: Oh no. Did they say why?,0.15,0.42,0.18,sad,empathetic
I was able to save a blind lady from falling down an escalator. PLAYER: I was able to save a blind lady from falling down an escalator. NPC: Is she ok? Im glad you were close by!,0.78,0.62,0.72,proud,empathetic
"missing money from my paycheck, wrong hours and bonus again!  PLAYER: I am so sick of my job not paying us for the proper amount of hours! NPC: That's terrible. Employers just don't value their employees sometimes.",0.12,0.92,0.52,furious,empathetic
"I was mowing the lawn, and a rock flew and broke my neighbor's window. PLAYER: I was mowing the lawn, and a rock flew and broke my neighbor's window. NPC: Oh no... were they relaxed about it or did it cause a problem?",0.12,0.45,0.18,ashamed,empathetic
I used to think I had gotten to big to wear a swimsuit. I went to the beach last week and those ladies were really flaunting their stuff. I have a once piece now. PLAYER: I hadn't worn a bathing suit in maybe 5 uears until recently. NPC: Why is that?,0.75,0.55,0.78,confident,empathetic
A few years ago when my grandmother died unexpectedly. PLAYER: My grandmother passed away unexpectedly a few years ago. NPC: oh no sorry to hear that. I just lost mine in November. It's hard.,0.15,0.42,0.18,sad,empathetic
I feel bad that I work too much and dont see my daughter.  PLAYER: I wish I could work less.. i feel so bad that i dont get to spend as much time with my daughter. NPC: I hear ya. Anyway to get a new job?,0.18,0.62,0.32,guilty,empathetic
"My friend called someone a bad name. PLAYER: My friend called someone a bad name, he really mad me upset. NPC: I dont like rude people either did you tell him?",0.15,0.68,0.42,disgusted,empathetic
My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix. PLAYER: My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix. NPC: Oh yeah I am sure it is.. have you talked to them about paying for it?,0.2,0.65,0.42,annoyed,empathetic
I cant wait to relocate again.  PLAYER: I cant wait to relocate and move again. I am so ready. NPC: Wow! Have you been to many places?,0.15,0.72,0.28,anxious,empathetic
"My brother usually doesn't do anything for me unless asked. After 3 decades, he actually took me out for my birthday. PLAYER: My brother usually doesn't do anything for me unless asked. After 3 decades, he actually took me out for my birthday. NPC: MY brothers are the same way. At least yours ginally came around.",0.65,0.78,0.55,surprised,empathetic
My texted me happy birthday yesterday. My birthday is today. PLAYER: Today is my birthday and I got a call yesterday wishing me a happy birthfay from my ex. NPC: Happy Birthday! Is the call from the ex a good or bad thing?,0.18,0.52,0.28,disappointed,empathetic
"I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision. PLAYER: I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision. NPC: That's not good. I know my eyes hurt when staring at the bright white screen on computers . So I change them to a darker color when possible.",0.12,0.83,0.25,afraid,empathetic
My old high school is being turned into an old people's apartments building. So sad.  PLAYER: My old high school is being sold and turned into an old people's apartment complex. Sad to see it go. NPC: Nostalgia. Is there another HS nearby for the kids to go to?,0.55,0.32,0.48,nostalgic,empathetic
"I was grateful when my mother visited me for my birthday. PLAYER: It was my birthday and my mother came to surprise me. NPC: Aw thats so nice, how did she surprise you?",0.75,0.45,0.52,grateful,empathetic
when i had to say goodbye to my dad PLAYER: I still remember the day i had to say goodbye to my dad. :( NPC: Thats too bad. What happened?,0.08,0.58,0.12,devastated,empathetic
I turn 29 today! It is a great day since its my birthday PLAYER: Today is my birthday! I think tonight we are all going out. NPC: Awesome! Happy Birthday to you! Where are you going?,0.88,0.72,0.75,joyful,empathetic
getting ready for irma  PLAYER: It was insane getting ready for hurricane IRMA to hit last year.... NPC: Did you get hit my it? I bet that was scary.,0.62,0.48,0.75,prepared,empathetic
My neighbor went back to school at 59. She just got her bachelor's this year. PLAYER: My neighbor went back to school at 59. She just got her bachelor's this year. NPC: Wow that's awesome. I went back at 31. Still going.,0.72,0.62,0.58,impressed,empathetic
I shouldn't have to cook on my birthday. This is when I miss having a boyfriend. PLAYER: It makes me sad to be single nowadays. NPC: Did you go through a breakup recently?,0.15,0.42,0.18,sad,empathetic
My friend's boyfriend got into an accident 5 years ago. She's still with him. PLAYER: My friend's boyfriend got into an accident 5 years ago. She's still with him. NPC: What happened to him? How are they doing?,0.72,0.45,0.68,faithful,empathetic
I got pulled over and almost got a ticket. PLAYER: So last night a cop pulled me over. NPC: Oh man. What happened?,0.12,0.83,0.25,afraid,empathetic
"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her. PLAYER: I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her. NPC: That is a nice thing you are doing for her though. Maybe you could hire somebody for a few hours a week and join a gym or yoga class.",0.18,0.48,0.22,lonely,empathetic
"I saw a little turtle about to get hit on the road the other day and I was in a hurry and didn't stop and get him. I hope he made it across the road, poor little guy. PLAYER: A little baby turtle was crossing the road the other day and I was in a hurry and didn't stop and help him. I hope he made it. I usually stop and take them to a creek away from the road. Darn! NPC: Can't always help unfortunately. I hope the little guy made it, too!",0.18,0.62,0.32,guilty,empathetic
"My mom has arthritis in her neck, and the pain seems to be traveling down now. PLAYER: My mom has arthritis in her neck, and the pain seems to be traveling down now. NPC: I am sorry to hear that.. is there any physical therapy that can help her?",0.15,0.42,0.18,sad,empathetic
in a hurry to go on vacation!  PLAYER: I am so impatient right now... waiting for the clock to hit 5 so I can go on vacation! NPC: How many hours do you have left?,0.15,0.72,0.28,anxious,empathetic
"I was sent to close a deal with a client. PLAYER: So my boss sent me over to close the deal with the Mr Harris. I felt so happy closeing a big client like that. NPC: Thats great, was the result good?",0.75,0.55,0.78,confident,empathetic
I once saw a snake in the woods and got very scared. PLAYER: I was in the woods and a snake came out of no where. NPC: Did it bite you? Are you ok?,0.12,0.83,0.25,afraid,empathetic
"My mom went back to school at 63 and recently got her bachelor's in computer science! PLAYER: My mom went back to school at 63 and recently got her bachelor's in computer science! NPC: Wow That's amazing. You must be very proud of her.  I think coding, etc, seems very hard.",0.78,0.62,0.72,proud,empathetic
